description,nick_name,start_time,end_time,run_time,run,data_name,pic_name,pic_id,test_param,param_value,rorschach,curvature,target_curvature,null_curvature,target_variability,null_variability,sample_size,obs_plot_location,response_no,correct,conf_level,choice_reason,participant_count,plot_count
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545768,1605545776,7.688497543,5,6a72b42ba970ea6798a886761baf324f,plots/svg/16ce6f7a2dfb1a760c7ba8bcd54daccc.svg,11,linear,target-E-Lv_null-H-Lv_r0,0,t-E_n-H,E,H,Lv,Lv,50,17,17,1,Very Certain,Different shape,13,18
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545776,1605545793,16.64492798,5,3d689aa117d70559b73fe8398f1a44c6,plots/svg/20d0abf28998f59ada75cce6b4999158.svg,21,linear,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,1,1,1,Uncertain,Different shape,13,28
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545793,1605545803,10.50389743,5,47748c8978f11fc269bed62ca7f6a4d3,plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg,28,log,target-H-Lv_null-E-Lv_r0,0,t-H_n-E,H,E,Lv,Lv,50,9,9,1,Certain,Different shape,13,21
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545803,1605545811,7.806084633,5,8ad2ea6719790c191cedf1038d3cbca5,plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg,14,log,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,10,1,Certain,Different slope,13,23
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545811,1605545828,16.28517365,5,87f34b01f1fce217b6c33e04da081ed0,plots/svg/5ecce62e937c1598e901631b3a1821d2.svg,6,log,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,12,12,1,Neutral,"Different shape, Different slope",13,20
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545828,1605545852,24.07621717,5,8ad2ea6719790c191cedf1038d3cbca5,plots/svg/5df2947852318075a066e55984da5020.svg,13,linear,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,14,0,Neutral,Different range,13,22
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545863,1605545996,133.0424964,5,b79bc1a0fdbb69edc87fe34883a066d6,plots/svg/e9510e025a1152c8bc78255bdc926f93.svg,31,linear,target-H-Lv_null-M-Lv_r0,0,t-H_n-M,H,M,Lv,Lv,50,12,8,0,Uncertain,Different slope,13,22
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545996,1605546012,16.10952377,5,3d689aa117d70559b73fe8398f1a44c6,plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg,22,log,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,1,1,1,Certain,Different shape,13,23
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605546012,1605546023,10.71942258,5,47748c8978f11fc269bed62ca7f6a4d3,plots/svg/d4332bd8e199471b74969e986f987ac8.svg,27,linear,target-H-Lv_null-E-Lv_r0,0,t-H_n-E,H,E,Lv,Lv,50,9,9,1,Certain,Different slope,13,21
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605824198,1605824697,498.3905265,6,7ff3391e264e98652cdb6eb8b85088c4,plots/svg/d8dea45d5c5b31523324bc29de32411f.svg,15,linear,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,2,0,Uncertain,"Other, Large variance in y-axis for small neighborhood in x-axis (near large x's)",13,21
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605824697,1605824814,117.260293,6,3d689aa117d70559b73fe8398f1a44c6,plots/svg/20d0abf28998f59ada75cce6b4999158.svg,21,linear,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,1,1,1,Uncertain,Clustering,13,28
