"participantID","nick_name","study_starttime","age","gender","academic_study","recruitment","plotID","start_time","end_time","parm_id","x","y","ydrawn","yloess","residualdrawn","residualloess","ypca"
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",15.25,7.356895,7.481693,7.57521737983226,0.124798,0.218322379832257,7.6975005127161
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",15.5,7.507768,7.710749,7.77776935284863,0.202980999999999,0.270001352848631,7.86462175294435
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",15.75,7.658642,7.939806,7.98110587436016,0.281164,0.322463874360158,8.03174299317259
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",16,7.809515,8.168863,8.18527260987579,0.359348,0.375757609875786,8.19886423340083
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",16.25,7.960388,8.397919,8.39031522490445,0.437531,0.429927224904448,8.36598547362908
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",16.5,8.111262,8.569711,8.59627938495508,0.458449,0.48501738495508,8.53310671385732
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",16.75,8.262135,8.856032,8.80321075553662,0.593897,0.541075755536619,8.70022795408557
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",17,8.413008,9.027825,9.01115500215801,0.614817,0.598147002158012,8.86734919431381
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",17.25,8.563882,9.256881,9.22015779032818,0.692999,0.656275790328184,9.03447043454205
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",17.5,8.714755,9.485938,9.43026478555608,0.771183000000001,0.71550978555608,9.2015916747703
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",17.75,8.865628,9.772258,9.64145814960945,0.906630000000002,0.775830149609455,9.36871291499854
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",18,9.016502,10.00131,9.85368090337872,0.984808000000001,0.837178903378721,9.53583415522678
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",18.25,9.167375,10.17311,10.0669200010568,1.005735,0.899545001056817,9.70295539545502
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",18.5,9.318248,10.3449,10.2811623968367,1.026652,0.962914396836675,9.87007663568327
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",18.75,9.469122,10.45943,10.4963950449112,0.990307999999999,1.02727304491123,10.0371978759115
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",19,9.619995,10.68848,10.7126048994734,1.068485,1.09260989947342,10.2043191161398
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",19.25,9.770868,10.80301,10.9297789147162,1.032142,1.15891091471617,10.371440356368
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",19.5,9.921742,11.08933,11.1479040448324,1.167588,1.22616204483242,10.5385615965962
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",19.75,10.07262,11.26113,11.3669672440151,1.18851,1.2943472440151,10.7056828368245
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",20,10.22349,11.66197,11.5869554664572,1.43848,1.36346546645716,10.8728040770527
