"parm_id","x","participantID","ols.pred","ols.lower","ols.upper","pca.pred","pca.lower","pca.upper"
"V",0.5,"07b99df3c1c4c28454a3b1cce128a1b5",0.336133482800384,-0.491894452611238,1.16416141821201,0.990862884476415,0.162336564127525,1.8193892048253
"V",1,"07b99df3c1c4c28454a3b1cce128a1b5",0.234882264246274,-0.472434405617746,0.942198934110295,0.855153417842488,0.1485118772636,1.56179495842138
"V",1.5,"07b99df3c1c4c28454a3b1cce128a1b5",0.138305063337631,-0.457255896572332,0.733866023247594,0.724167149139697,0.130550950538822,1.31778334774057
"V",2,"07b99df3c1c4c28454a3b1cce128a1b5",0.0490680060620906,-0.444661201051131,0.542797213175312,0.600589706880457,0.11022322899762,1.09095618476329
"V",2.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.0312003578984686,-0.434230896404819,0.371830180607882,0.486049302682739,0.0880334339938599,0.884065171371619
"V",3,"07b99df3c1c4c28454a3b1cce128a1b5",-0.102373668875445,-0.429021092296349,0.224273754545459,0.380649056858603,0.0609692549676588,0.700328858749548
"V",3.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.165793343251751,-0.435242056204315,0.103655369700813,0.283006706132796,0.0226846084075399,0.543328803858052
"V",4,"07b99df3c1c4c28454a3b1cce128a1b5",-0.223795551262501,-0.458204802788327,0.0106137002633251,0.190738806229074,-0.0325598696434986,0.414037482101647
"V",4.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.278954201257639,-0.497508357130005,-0.0604000453852731,0.101230783203022,-0.104778354754905,0.307239921160949
"V",5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.333255696199614,-0.547751173886887,-0.118760218512342,0.0124728332055905,-0.188528146397677,0.213473812808858
"V",5.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.38743135255918,-0.60326559063454,-0.17159711448382,-0.0762672824857126,-0.277860187327536,0.125325622356111
"V",6,"07b99df3c1c4c28454a3b1cce128a1b5",-0.440628165996475,-0.659754973987153,-0.221501358005797,-0.16411625223755,-0.368281388700639,0.0400488842255385
"V",6.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.490508399030899,-0.713262041883378,-0.267754756178419,-0.248701409628254,-0.455724788240378,-0.0416780310161296
"V",7,"07b99df3c1c4c28454a3b1cce128a1b5",-0.533755608986283,-0.759900232637963,-0.307610985334604,-0.326666162697823,-0.536238701911863,-0.117093623483784
"V",7.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.566857922738233,-0.796460151278089,-0.337255694198376,-0.394462519144786,-0.606603488639682,-0.182321549649889
"V",8,"07b99df3c1c4c28454a3b1cce128a1b5",-0.586966173600954,-0.820613750734896,-0.353318596467012,-0.449216039841166,-0.664510459661001,-0.233921620021332
